AAS Photo Bulletin	AASPB
Orion: Zeitschrift für Amateur-Astronomie	Orion
Orlando FL Academic Press Inc International Geophysics Series	IGS
Ortung und Navigation	OrNav
Osaka Prefecture University Bulletin Series Engineering Natural Sciences	BuENS
Osaka University Technology Reports	OsUTR
Osiris	Osir
Osservatorio Astronomico di Capodimonte Napoli Contributi Astronomici	NapCo
Osservatorio Astronomico di Collurania Teramo Contributi	TerCo
Osservatorio Astronomico di Collurania Teramo Memorie ed Osservazioni	TerMm
Osservatorio Astronomico di Collurania Teramo Note e Comunicazioni	TerNC
Osservatorio Astronomico di Padova Comunicazioni e Rassegne	PadCR
Osservatorio Astronomico di Roma su Monte Mario Contributi Scientifici	RomCo
Osservatorio Astronomico di Trieste Pubblicazioni	TriP
Osservatorio Privato Specola Ariel Treviso Italia Pubblicazione	TreP
Osteoarthritis and Cartilage	OsCar
Otbor i Obrabotka Informatsii	OtObI
Otbor i Peredacha Informatsii	OtPI
Oxford Pergamon Press International Series on Natural Philosophy	OISNP
Oxford Pergamon Press International Tables Selected Constants	OISTS
Oxford University Observatory Observations	OxfOO
Oxidation of Metals	OxM
Ozone: Science & Engineering	OzSE
Paleobiology	Palb
Paleoceanography	PalOc
Papers in Meteorological Research	PMetR
Papers Meteorology Geophysics	PMG
Parallel Computing	ParC
Parasitology	Paras
Pattern Recognition Letters	PaReL
Perceptual Motor Skills	PerMS
Peremennye Zvezdy	PZ
Peremennye Zvezdy Prilozhenie	PZP
Periodica Mathematica Hungarica	PMHu
Periodica Polytechnica Electrical Engineering	PPEE
Periodica Polytechnica Mechanical Engineering	PPME
Periodica Polytechnica Transportation Engineering	PPTE
Perkins Observatory Contributions	PerCo
Phase Transitions: A Multinational Journal	PTMJ
Ph.D. Thesis	PhDT
Philips Journal Research	PhiJR
Philips Research Reports	PhiRR
Philips Technical Review	PhiTR
Philosophical Magazine	PMag
Philosophical Magazine Letters	PMagL
Philosophical Magazine, Part A	PMagA
Philosophical Magazine, Part B	PMagB
Philosophical Transactions Series I	RSPT
Phoenix Mitteilungsblatt fuer Veraenderlichenbeobachter	Phoen
Photo Interpretation	PhInt
Photochemistry and Photobiology	PcPb
Photogrammetria	Pg
Photogrammetric Engineering	PgE
Photogrammetric Engineering and Remote Sensing	PgERS
Photonics and Nanostructures	PhNan
Photonics Spectra	PhoSp
Photosynthesis Research	PsynR
Photosynthetica	Psyn
Physic Letters	PhyL
Physica	Phy
Physica A Statistical Mechanics and its Applications	PhyA
Physica B Condensed Matter	PhyB
Physica C Superconductivity	PhyC
Physica D Nonlinear Phenomena	PhyD
Physica E Low-Dimensional Systems and Nanostructures	PhyE
Physica Energiae Fortis et Physica Nuclearis	PEFPN
Physica Norvegica	PhyNr
Physica Scripta	PhyS
Physica Scripta B	PhySB
Physica Scripta Volume T	PhST
Physica Status Solidi Applied Research	PSSAR
Physica Status Solidi B Basic Research	PSSBR
Physica Status Solids	PhySS
Physical Acoustics	PhAco
Physical Biology	PhBio
Physical Chemical and Earth Sciences Research Reports	PCESR
Physical Chemistry Chemical Physics (Incorporating Faraday Transactions)	PCCP
Physical Chemistry: Science and Engineering	PCSE
Physical Geography	PhGeo
Physical Properties of High Temperature Superconductors	PPHTS
Physical Research	PhyR
Physical Review	PhRv
Physical Review A	PhRvA
Physical Review B	PhRvB
Physical Review C	PhRvC
Physical Review D	PhRvD
Physical Review E	PhRvE
Physical Review Letters	PhRvL
Physical Review Series I	PhRvI
Physical Review Special Topics Accelerators and Beams	PhRvS
Physical Review Special Topics Physics Education	PrSTP
Physical Sciences Data	PSD
Physical Sciences Series of the Commission of European Communities	PSCEC
Physical Society of Japan Journal	PSJaJ
PhysicoChemical Hydrodynamics	PhChH
Physics - Doklady	DokPh
Physics and Astrophysics from Spacelab	PhASp
Physics and Chemistry in Space	PCS
Physics and Chemistry of the Earth	PCE
Physics and Chemistry of the Earth A	PCEA
Physics and Chemistry of the Earth B	PCEB
Physics and Chemistry of the Earth C	PCEC
Physics and Chemistry of the Earth Delta	PCED
Physics and Chemistry of Earth	PhChE
Physics and Chemistry of Liquids	PCL
Physics and Chemistry of Materials with Low-Dimensional Structures	PCMLD
Physics and Chemistry of Materials with Low-Dimensional Structures Series A	PCMLA
Physics and Chemistry of Materials with Low-Dimensional Structures Series B	PCMLB
Physics and Chemistry of Materials with Low-Dimensional Structures Series C	PCMLC
Physics and Chemistry of Minerals	PCM
Physics and Contemporary Needs	PCN
Physics and Evolution of the Earth's Interior	PEEI
Physics and its Applications	PhApp
Physics and Technology of Particle and Photon Beams	PTPPB
Physics Bulletin	PhB
Physics Education	PhyEd
Physics Essays	PhyEs
Physics in Collision: High-Energy ee/ep/pp Interactions	PCHEI
Physics in Medicine and Biology	PMB
Physics in Perspective	PhP
Physics in Technology	PhTec
Physics Laser Fusion	PhLF
Physics Letters	PhL
Physics Letters A	PhLA
Physics Letters B	PhLB
Physics Letters Section C Physics Reports C	PhLC
Physics New York	PhyNY
Physics Notes	PhyN
Physics of the Earth and Planetary Interiors	PEPI
Physics of the Solid State	PhSS
Physics of Atomic Nuclei	PAN
Physics of Atoms and Molecules	PAM
Physics of Fluids	PhFl
Physics of Fluids B	PhFlB
Physics of Life Reviews	PhLRv
Physics of Low-Dimensional Structures	PLDS
Physics of Metals	PhMet
Physics of Metals and Metallography	PMM
Physics of Particles and Nuclei	PPN
Physics of Plasmas	PhPl
Physics of Quantum Electronics	PhQE
Physics of Solids and Liquids	PSL
Physics of Thin Films	PTF
Physics Reports	PhR
The Physics Teacher	PhTea
Physics Today	PhT
Physics Uspekhi	PhyU
Physics World	PhyW
Physik der Kondensiterten Materie	PKM
Physik in unserer Zeit	PhuZ
Physikalisch-Chemische Trenn- und Messmethoden	PCTM
Physikalische Gesellschaft	PhyG
Physikalische Gesellschaft Zürich	PhyGZ
Physikalische Zeitschrift	PhyZ
Physiological Chemistry and Physics	PhyCP
Physiological Measurement	PhyM
Physiologist Supplement	PhylS
Pis ma Astronomicheskii Zhurnal	PAZh
Pis ma Zhurnal Eksperimental noi i Teoreticheskoi Fiziki	PZETF
Pis ma Zhurnal Tekhnischeskoi Fiziki	PZhTF
Planetary and Space Science	P&SS
Planetary Astronomy	PlAst
Planetary Report	PlR
Plant and Cell Physiology	PCPhy
The Plant Journal	PlJ
Plasma Chemistry and Plasma Processing	PCPP
Plasma Physics	PlPh
Plasma Physics and Controlled Fusion	PPCF
Plasma Physics Reports	PlPhR
Plasma Sources Science Technology	PSST
Plasmas and Ions	Pl&I
Plasmas and Polymers	PlPo
Plastiques Renforces Fibres de Verre Textile	PRFVT
PMTF Zhurnal Prikladnoi Mekhaniki i Tekhnicheskoi Fiziki	PMTF
Pnevmatika i Gidravlika	PnGid
Poliarnye Siianiia	PolSi
Poliarnye Siianiia i Svechenie Nochnogo Neba	PSSNN
Polish Academy of Science Arch Mech	PASAM
Polish Academy of Science Artificial Satellites	PASAS
Polish Academy of Sciences Institute of Geophysics Publications	PASIG
Polish Academy of Sciences Theory Aggregation Coagulation	PASTA
Politechnika Czestochowska Zeszyty Naukowe Nauki Techniczne Mechanika	PCZNN
Politechnika Gdanska Zeszyty Naukowe Mechanika	PGZNM
Politechnika Slaska Zeszyty Naukowe Mechanika	PSZNM
Pollution Atmospherique	PolAt
Polskie Towarzyslwo Milosnikow Astronomii	CraR
Poluprovodnikovaia Tekhnika i Mikroelektronika	PolTM
Poluprovodnikovye Pribory i ikh Primenenie	PolPP
Polymer	Poly
Polymer Composites	PoCom
Polymer Physics	PolPh
Polymer-Plastics Technology and Engineering	PPTEn
Pomiary Automatyka Kontrola	PomAK
Popular Astronomisk Tidsskrift	PATi
Popular Astronomy	PA
Poroshkovaia Metallurgiia	PorMe
Postepy Astronautyki	PoAn
Postepy Astronomii Krakow	PoAst
Pour la Science	PSci
Powder Diffraction	PDiff
Poznan Uniwersytet im Adama Mickiewicza Seria Akustyka	PUAMA
Poznan Uniwersytet im Adama Mickiewicza Seria Fizyka	PUAMF
Practical Astronomy	PrAst
Pradesh  State Observatory Naini Tal Insia Reprints	NaiRe
Prague Academia	PraAc
Pramana	Prama
Precambrian Research	PreR
Priborostroenie	Prib
Pribory i Tekhnika Eksperimenta	PriTE
Prikladnaia Matematika i Mekhanika	PriMM
Prikladnaia Matematika i Programmirovanie	PriMP
Prikladnaia Mekhanika	PriM
Priroda	Prir
Private Communication	Priv
Probabilistic Engineering Mechanics	PrEM
Problemy Arktiki i Antarktiki	PrAiA
Problemy Bioniki	PrBio
Problemy Difraktsii i Rasprostraneniia Voln	PrDRV
Problemy Fiziki Atmosfery	PrFA
Problemy Iadernoi Fiziki i Kosmicheskikh Luchei	PrFKL
Problemy Kosmicheskoi Fiziki	PrKFi
Problemy Mashinostroeniia	PrMas
Problemy Prochnosti	PrPro
Problemy Sluchainogo Poiska	PrSP
Problemy Tekhnicheskoi Elektrodinamiki	PrTE
Problemy Teorii Gravitatsii i Elementarnykh Chastits	PrTGE
Problemy Teploenergetiki i Prikladnoi Teplofiziki	PrTPT
Proceeding of the Japan Academy	PJA
Proceedings: Biological Sciences	PBioS
Proceedings: Mathematical, Physical and Engineering Sciences	PMPES
Proceedings of the American Mathematical Society	PAMS
Proceedings of the American Philosophical Society	PAPhS
Proceedings of the Astronomical Society of Australia	PASAu
Proceedings of the Edinburgh Mathematical Society	PEMS
Proceedings of the Indian National Science Academy Part A	PINSA
Proceedings of the Indian National Science Academy Part B	PINSB
Proceedings of the Institute of General Physics, Adademy of the Sciences of Russia	PIGP
Proceedings of the IRE	PIRE
Proceedings of the National Academy of Science	PNAS
Proceedings of the National Society of Black Physicists	PNSBP
Proceedings of the Physical Society	PPS
Proceedings of the Physical Society A	PPSA
Proceedings of the Physical Society B	PPSB
Proceedings of the Physical Society of London	PPSL
Proceedings of the Royal Irish Academy Section A	PRIAA
Proceedings of The Society for Experimental Biology and Medicine	PSEBM
Proceedings of Vibration Problems	PrVP
Program: electronic library & information systems	PELIS
Progress in Aerospace Sciences	PrAeS
Progress in Astronautics and Aeronautics	PrAA
Progress in Astronomy	PABei
Progress in Biochemistry and Biophysics	PBB
Progress in Biophysics and Biophysical Chemistry	PBBC
Progress in Biophysics and Molecular Biology	PBMB
Progress in Energy and Combustion Science	PrECS
Progress in Low Temperature Physics	PLTP
Progress in Materials Science	PrMS
Progress in Mathematical Physics	PMatP
Progress in Medical Radiation Physics	PMRP
Progress in Metal Physics	PMetP
Progress in Oceanography	PrOce
Progress in Organic Coatings	POrCo
Progress in Particle and Nuclear Physics	PrPNP
Progress in Photochemistry and Photophysics	PPcPp
Progress in Quantum Electronics	PQE
Progress In Surface Science	PrSS
Progress in Theoretical Chemistry and Physics	PTCP
Progress of Physics/Fortschritte der Physik	PrPh
Progress of Theoretical Physics	PThPh
Progress of Theoretical Physics Supplement	PThPS
Promyshlennaia Teplotekhnika	ProTe
Propellants and Explosives	PrEx
Propellants and Explosives Pyrotechnics	PrExP
Pubblicazioni della R. Universita degli studi di Firenze	PUFir
Pubblicazioni della Stazione Astronomica Internazionale di Latitudine	PSAIL
Pubblicazioni dell'Osservatorio Astronomico di Milano-Merate	POMil
Pubblicazioni dell'Osservatorio Astronomico di Padova	POPad
Pubblicazioni dell'Osservatorio Astronomico di Palermo	POPal
Pubblicazioni Varie Fuori Serie dell'Osservatorio Astronomico di Torino	POTor
Publ. House Czech. Acad. Sci.	PKCat
Public Understanding of Science	PUS
Publicacion Facultad de Ciencias Madrid	PMad
Publicatiile Observatorului Astronomical Universitatii din Cluj	POClu
Publication de l'Observatoire de Paris Notes et Informations	POPar
Publication de l'Observatoire de Strasbourg	POStr
Publication der Koeniglichen Sternwarte in Kiel	PUSK
Publication of the Pomona College Astronomical Society	PPCAS
Publication of COMU Astrophysics Research Center	PCARS
Publication of Korean Astronomical Society	PKAS
Publication Speciale du Centre de Donnees Stellaires	PSCDS
Publicationen der K. Universitoats-Sternwarte zu Leipzig	PULei
Publications de l'Institut d'Astronomie et de Geophysique Louvain	PLAGL
Publications de l'Observatoire Astronomique de Beograd	POBeo
Publications de l'Observatoire de l'Universite de Bordeaux	POBor
Publications de l'Observatoire de Toulouse	POTou
Publications of the Academy of Science Kasakstan Sect. Astrobotanics	PASK
Publications of the Allegheny Observatory of the University of Pittsburgh	PAllO
Publications of the American Astronomical Society	PAAS
Publications of the Astronomical Institute of the Charles University	PAICU
Publications of the Astronomical Institute of the Czechoslovak Academy of Sciences	PAICz
Publications of the Astronomical Institute of the University of Amsterdam	PUAms
Publications of the Astronomical Institute of the University of Borneo	PBrn
Publications of the Astronomical Observatory Helsinki	POHel
Publications of the Astronomical Observatory University of Minnesota	POMin
Publications of the Astronomical Society of the Pacific	PASP
Publications of the Astronomical Society of the Pacific Supplement	PASPS
Publications of the Astronomical Society of Australia	PASA
Publications of the Astronomical Society of Japan	PASJ
Publications of the Astronomy Deparment of the Eotvos Lorand University	PADEU
Publications of the Astronomy Institute of Bonn	PAIB
Publications of The Astrophysics Branch Ottawa	PAB
Publications of the Beijing Astronomical Observatory	PBeiO
Publications of the Bosscha Observatory Lembang Indonesia	PBosO
Publications of the Cincinnati Observatory	PCinO
Publications of the Cook Observatory	PCooO
Publications of the David Dunlap Observatory	PDDO
Publications of the Department of Astronomy Austin Texas	PDAA
Publications of the Department of Astronomy University of Chile	PDAUC
Publications of the Dominion Astrophysical Observatory Victoria	PDAO
Publications of the Dominion Observatory Ottawa	PDO
Publications of the Dresden Observatory	PDreO
Publications of the Flower and Cook Astronomical Observatory	PF&CO
Publications of the Flower Astronomical Observatory	PFAO
Publications of the Goethe Link Observatory	PGLO
Publications of the Goodsell Observatory, Carleton College	PGooO
Publications of the Istanbul University Observatory	PIstO
Publications of the Kapteyn Astronomical Laboratory Groningen	PGro
Publications of the Kirkwood Observatory of Indiana University	PKirO
Publications of the Laborotory of Astronomy University of Athens	PAth
Publications of the Leander McCormick Observatory	PMcCO
Publications of the Manila Observatory	PManO
Publications of the Munich Observatory	PMunO
Publications of the National Astronomical Observatory of Japan	PNAOJ
Publications of the Observatoire de Lyon	POLyo
Publications of the Observatoire Geneve Series A	PGenA
Publications of the Observatoire Geneve Series B	PGenB
Publications of the Observatoire Haute-Provence	POHP
Publications of the Observatorie Astronomie Nacional Cerro Calan	POANC
Publications of the Observatory Astronomie University Istambul	POIst
Publications of the Oslo Observatory	POslO
Publications of the Owens Valley Observatory	POVRO
Publications of the Purple Mountain Observatory	PPMtO
Publications of the Riverview College Observatory	PRCO
Publications of the Royal Observatory of Edinburgh	PROE
Publications of the Sproul Observatory	PSprO
Publications of the Tartuskoj Astrofizica Observatory	PTarO
Publications of the Tashkent Astronomical Observatory	PTasO
Publications of the U.S. Naval Observatory Second Series	PUSNO
Publications of the Van Vleck Observatory	PVVO
Publications of the Vassar College Observatory	PVasO
Publications of the Warner & Swasey Observatory	PW&SO
Publications of the Washburn Observatory	PWasO
Publications of the Yerkes Observatory	PYerO
Publications of the Yunnan Observatory	PYunO
Publications of dell'Osservatorio Astronomie de Bologna	POBol
Publications of Laws Observatory, University of Missouri	PLawO
Publications of Lick Observatory	PLicO
Publications of Michigan Observatory	POMic
Publications of Osservatorio Astrofisico di Catania	PCat
Publications of West Hendon House Observatory, Sunderland	PWHHO
Publications University of Oxford Department of Astrophysics	POxf
Publikationen des Astrophysikalischen Instituts Koenigstuhl-Heidelberg	PAIKH
Publikationen des Astrophysikalischen Observatoriums zu Potsdam	POPot
Publikationer og mindre Meddeler fra Kobenhavns Observatorium	PCopO
Pulkovo Glavnaia Astronomicheskaia Observatoriia Izvestiia	PGAOI
Pure & Applied Chemistry	PApCh
Pure and Applied Geophysics	PApGe
Pure and Applied Physics	PApPh
Pure Applied Optics	PApOp
Qinghua University Journal	QUnJ
Quality Reliability Engineering International	QREI
Quantitative Finance	QuFin
Quantum and Semiclassical Optics	QuSOp
Quantum Optics	QuOpt
Quarterly Journal of the Royal Astronomical Society	QJRAS
Quarterly Journal of the Royal Meteorological Society	QJRMS
The Quarterly Journal of Mathematics	QJMat
Quarterly Journal of Mechanics and Applied Mathematics	QJMAM
Quarterly of Applied Mathematics	QApMa
Quarterly Reviews of Biophysics	QRBio
Quaternary Research	QuRes
Quaternary Science Reviews	QSRv
Quest	Quest
Radcliffe Observatory Pretoria South Africa Reprints	RadRe
Radiant, Journal of the Dutch Meteor Society	Rad
Radiation and Environmental Biophysics	REB
Radiation Effects	RadEf
Radiation Effects and Defects in Solids	REDS
Radiation Physics and Chemistry	RaPC
Radiation Research	RaRe
Radio and Electronic Engineer	RaEE
Radio Engineering and Electronic Physics	REEP
Radio Research Laboratories Journal	RaRLJ
Radio Research Laboratories Review	RaRLR
Radio Science	RaSc
Radio Science Bulletin	RaScB
Radio Science Supplement	RaScS
Radioelectronika	Radel
Radiofizika	RaF
Radioizluchenie Solntsa	RaSol
Radiophysics and Quantum Electronics	R&QE
Radiotekhnika	RaT
Radiotekhnika i Elektronika	RaEl
Radiotekhnika i Elektronika Radio Engineering Electronic Physics	RERE
Radiotekhnika Kharkov	RatK
Radiotekhnika Tecommunications Radio Engineering Radio Engineering	RTRE
The Ramanujan Journal	RamJ
Raschety Prochnost	RaPro
Raumfahrtforschung	RF
RCA Engineer	RCAEn
RCA Review	RCARv
Real-Time Imaging	RTI
Recent Development in Condensed Matter Physics	RDCMP
Recent Research Development in Applied Physics	RRDAP
Recent Research Development in Biophysical Chemistry	RRDBC
Recent Research Development in Biophysics and Biochemistry	RRDBB
Recent Research Development in Chemical Physics	RRDCP
Recent Research Development in Physical Chemistry	RRDPC
Recent Research Development in Physics	RRDP
Recent Research Development in Physics of Fluids	RRDPF
Recent Research Development in Statistical Physics	RRDSP
La Recherche	Rech
La Recherche Aerospatiale	ReAer
La Recherche Aerospatiale Bimonthly Bulletin ESA	ReAeB
La Recherche Spatiale	ReSp
Recherches Aeronautiques et Aerospatiales	ReAA
Recherches Astronomiques de l'Observatoire d'Utrecht	RAOU
Referationyj Zhurnal	RZh
Regional Journal of Energy Heat and Mass Transfer	RJEHM
Remote Sensing Electro Magnetic Spectrum	RSEMS
Remote Sensing of Environment	RSEnv
Remote Sensing Quarterly	RSQ
Renormalization	Renor
Report Ionosphere Space Research Japan	RISRJ
Report of the Committee of the Overseers of Harvard College appointed to visit the Observatory	HarOR
Report of the National Astronomical Observatory of Japan	RNAOJ
Reports for the year presented by the Board of Managers of the Observatory of Yale University to the President and Fellows	YalRY
Reports of the Lund Observatory	ROLun
Reports of Progress in Physics	RPPh
Reports on Mathematical Physics	RpMP
Representation Theory of the American Mathematical Society	RTAMS
Reprints Beijing Astronomical Observatory Academia Sinica	BeiRe
Republic Observatory Johannesburg Circular	ROCi
Republic of China National Science Council Proceedings Applied Sciences	ChPAS
Research in Nondestructive Evaluation	ReNEv
Research in Science and Technological Education	RSTEd
Research in Science Education	RScEd
Research Laboratory Engineering Materials Report	RLEMR
Research Laboratory Precision Machinery Electronics Bulletin	RLPME
Research Measurement Approach	RMA
Research Reports in Physics	RRP
Research Trends in Physics	RTP
Resultados del Observatorio Nacional Argentino	RNAO
Resultados del Observatorio Nacional Argentino en Cordoba	ROCor
Review of Derivatives Research	RDR
The Review of Economic Studies	RvES
The Review of Economics and Statistics	RvE&S
Review of Physical Chemistry of Japan	RvPCJ
Review of Physics in Technology	RvPT
Review of Scientific Instruments	RScI
Reviews in Aquatic Sciences	RvAqS
Reviews in Mathematical Physics	RvMaP
Reviews of Geophysics	RvGeo
Reviews of Geophysics and Space Physics	RvGSP
Reviews of Geophysics Supplement	RvGeS
Reviews of Mineralogy	RvMin
Reviews of Modern Astronomy	RvMA
Reviews of Modern Physics	RvMP
Reviews of Modern Physics Supplement	RvMPS
Reviews of Optics	RvOp
Reviews of Plasma Physics	RvPP
Revista Astronomica Organo de la Asociacion Argengina Amigos de la Astronomia Buenos Aires	RvA
Revista Brasileira de Fisica	RBrFi
Revista Colombiana de Fisica	RvCF
Revista do observatorio : publicacao mensal do Imperial Observatorio do Rio de Janeiro	IORP
Revista Mexicana de Astronomia y Astrofisica	RMxAA
Revista Mexicana de Fisica	RMxF
Revista Real Acad. Ciencias Exact. Fis. Nat. Madrid	RvMad
Revista Transporturilor si Telecomunicatiilor	RTrTe
Revue Aerospatiale	AerRv
Revue d'Acoustique	RvAc
Revue de Geographie Physique et de Geologie Dynamique	RvGPG
Revue de Geologie Dynamique et de Geographie Physique	RvGDG
Revue de Physique Appliquee	RvPA
Revue du Palais de la Decouverte	RvPD
Revue Francaise de l'Electricite Quarter	RvFEQ
Revue Francaise de Mecanique	RFrM
Revue Francaise de Mecanique Quarter	RFrMQ
Revue Roumaine de Mathematiques Pures et Appliquees	RRMPA
Revue Roumaine de Physique	RvRP
Revue Roumaine des Sciences Techniques Serie de Mecanique Appliquee	RvRST
Revue Scientifique et Technique CECLES CERS	RST
Revue Technique Thomson CSF	RvT
Rezul taty Nabliudenii Iskusstvennykh Sputnikov Zemli	RNISZ
Rheinisch Westfaelische Technische Hochschule Aerodynamisches Institut Abhandlungen	RWTHA
Rheologica Acta	AcRhe
Ricerche Astronomiche	RA
Riga Izdatel Zinatne	RIzZi
Rise hvezd Popularne vedecky astronomicky casopis Praha	Rise
River Research and Applications	RRA
Rivista di Meteorologia Aeronautica	RMetA
Rivista Italiana di Geofisica	RIG
Rivista Italiana di Geofisica e Scienze Affini	RIGSA
Rivista Tecnica Selenia	RvTS
Robotica	Robot
Rocznik Astronomiczny Observatorjum Krakowskiego Krakow	Roczn
Romanian Astronomical Journal	RoAJ
Rossiiskaia Akademiia Nauk Izvestiia Energetika	RoIE
Rossiiskaia Akademiia Nauk Izvestiia Mekhanika Zhidkosti i Gaza	RoIMZ
Rossiiskaia Akademiia Nauk Izvestiia Seriia Fizicheskaia	RoISF
Rossijskaya Akademiya Nauk Doklady	RoDok
Rossijskaya Akademiya Nauk Izvestiya Mekhanika Tverdogo Tela	RoIMT
Rossijskaya Akademiya Nauk Izvestiya Seriya Fizicheskaya	IzRos
Rostock Wilhelm Pieck Universitaet Wissenschaftliche Zeitschrift Mathematisch Naturwissenschaftliche Reihe	RWPWZ
Royal Astronomical Society of New Zealand Publications of Variable Star Section	PVSS
Royal Astronomical Society of New Zealand Variable Star Section Circulars	VSSCi
Royal Astronomical Society of New Zealand Variable Star Section Reprints	VSSRe
Royal Astronomical Society of New Zealand Variable Star Section Special Circulars	VSSSC
Royal Greenwich Observatory Bulletin	RGOB
Royal Greenwich Observatory Observations	RGOO
Royal Observatory Annals	ROAn
Royal Observatory Cape Mimeogram	CapMi
Royal Society Edinburgh Communications Physical Sciences	CoRSE
Royal Society of Edinburgh Proceedings Section	RSEPS
Royal Society of London Notes & Records	RSN&R
Royal Society of London Philosophical Transactions Series A	RSPTA
Royal Society of London Philosophical Transactions Series B	RSPTB
Royal Society of London Proceedings Series A	RSPSA
Royal Society of London Proceedings Series B	RSPSB
Royal Society of London Proceedings Series I	RSPS
Rozprawy Inzynierskie	RoIn
Rozprawy Inzynierskie Engineering Transactions	RoIET
Ruimtevaart	Ruimt
Russian Journal of Engineering Thermophysics	RJET
Russian Journal of Mathematical Physics	RJMP
Russian Journal Physical Chemistry	RJPC
Russian Journal Theoretical and Applied Mechanics	RJTAM
Russian Physics Journal	RuPhJ
Sadhana	Sadha
Samoletostroenie Tekhnika Vozdushnogo Flota	STVF
SAMPE Journal	SAMPJ
SAMPE Quarterly	SAMPQ
San Diego CA Univelt Inc Science Technology Series	UISTS
Sankt Peterburgskii Universitet Vestnik Seriia Matematika Mekhanika Astronomiia	MaMeA
SAO Special Report	SAOSR
Satellite Communications	SatCo
SBARMO Bulletin	SBARM
The Scandinavian Journal of Clinical and Laboratory Investigation	SJCLI
Scandinavian Journal of Metallurgy	SJMet
Scandinavian Union of Amateur Astronomers Variable Star Section	SUVSR
Schweizerische Naturforschende Gesellschaft	SNG
Sci. Rep. Tohoku Univ. Eighth Ser.	SRToh
Sci. Reports Tohoku Univ. Ser. I	ReToh
Science	Sci
Science & Education	Sc&Ed
Science and Culture Series: Astrophysics	SCSA
Science and Culture Series: Physics	SCSP
Science and Engineering of Composite Materials	SECM
Science China Series Mathematics Physics Astronomy Technological Sciences	SCSMP
Science Dimension	SciDi
Science Education	SciEd
Science Information Systems Newsletter	SISN
Science News	SciN
Science of the Total Environment	ScTEn
Science Progress	ScPr
Sciences	Scis
Sciences et Techniques	Sc&Te
Scientia (Bologna)	SciB
Scientia Sinica	SciSn
Scientia Sinica Series Mathematical Physical Technical Sciences	SSSMP
Scientific American	SciAm
Scientometrics	Scim
Scripta Faculty Science Nat. Ujep Brunensis Physica	SFSN
Scripta Metallurgica	ScM
Scripta Metallurgica et Materialia	ScMM
Sedimentary Geology	SedG
Sedimentology	Sedim
Seismological Society America Bulletin	BSSA
Seismology and Exploration Geophysics	SEGeo
Selected Topics in Solid State Physics	STSSP
Semiconductor Science Technology	SeScT
Semiconductor Science Technology Supplement	SeSTS
Semiconductors	Semic
Seminar Kraevym Zadacham Trudy	TrKra
Seminars in Dialysis	SDia
Sendai Astronomiaj Raportoj	SenAR
Sensor Physics and Technology Series	SPTS
Sensor Review	SeRv
Sensors and Actuators	SeAc
Sensors and Actuators A Physical	SeAcA
Sensors and Actuators B Chemical	SeAcB
Seoul Korea Atomic Energy Research Institute	SAERI
Separata Universidad de Chile Departamento de Astronomia Santiago	SanS
Separation Science and Technology	SS&T
Serbian Astronomical Journal	SerAJ
Shanghai Observatory Annals	AnShO
Shock and Vibration	SV
Shock Vibration Digest	SVD
Shock Vibration Information Center Shock Vibration Bulletin	SVICB
Shock Vibration Information Center Shock Vibration Computer Programs	SVICP
Shock Vibration Information Center Shock Vibration Digest	SVICD
Shock Vibration Information Center Shock Vibration Inform Digest	SVICI
Shock Waves	ShWav
SIAM Journal of Applied Mathematics	SJAM
SIAM Journal of Control Optimization	SJCO
SIAM Journal of Mathematical Analysis	SJMA
SIAM Journal of Numerical Analysis	SJNA
SIAM Review	SIAMR
Siberian Mathematical Journal	SiMaJ
Sibirskii Fiziko Tekhnicheskii Zhurnal	SiFTZ
SID Proceedings Quarter	SIDPQ
Siemens Forschungs und Entwicklungsberichte	SiFoE
Signal	Sig
Signal Processing	SigPr
Simulation	Simul
Single Molecules	SiMol
SIRIUS. Zeitschrift fuer Populaere Astronomie	SZPA
Situ	Situ
Skin Research and Technology	SRT
Sky and Telescope	S&T
Slaboproudy Obzor	SlaOb
Small Business Economics	SBE
Smart Material Structures	SMaS
Smart Materials and Structures	SmMaS
Smithsonian	Smith
Smithsonian Astrophysical Observatory Contributions to Astrophysics	SAOCo
Smithsonian Contributions to Astrophysics	SCoA
Smithsonian Contributions to Astrophysics	SmCA
Smithsonian Contributions to Earth Sciences	SmCES
Social Studies of Science	SSS
Societa Astronomica Italiana Memorie Quarter	MSAIQ
Societe Francaise de Photogrammetrie et de Teledetection Bulletin	SFPTB
Society of Environmental Engineers Journal	SEEJ
Society of Industrial and Applied Mathematics	SIAM
Sofia Izdatel Bolgarskoi Akademii Nauk	SIBAN
Soil Science Society of America Journal	SSSAJ
Solar Cells	SoCe
Solar Energy	SoEn
Solar Energy Materials	SoEnM
Solar Physics	SoPh
Solar System Research	SoSyR
Solar Terrestrial and Environmental Research Japan	STERJ
Solid Mechanics Archives	SMArc
Solid State Communications	SSCom
Solid State Electronics	SSEle
Solid State Ionics	SSIon
Solid State Nuclear Magnetic Resonance	SSNMR
Solid State Physics Advances in Research and Applications	SSPAR
Solid State Physics Advances in Research and Applications Supplement	SSPAS
Solid State Technology	SSTec
Solnechnye Dann. Bull. Akad. Nauk SSSR	BSolD
Sonderdrucke der Sternwarte Kiel	SoKie
Sonderdrucke Universitaet Muenster Astronomisches Institut	SoMue
